,stationid,startTime,date,hour,minute,week,weekend,outNums,inNums,flow
31,21,2015/4/29 10:10:00,29,10,10,1,0,16.0,50.0,34.0
32,21,2015/4/29 10:20:00,29,10,20,1,0,19.0,39.0,20.0
33,21,2015/4/29 10:30:00,29,10,30,1,0,17.0,21.0,4.0
34,21,2015/4/29 10:40:00,29,10,40,1,0,12.0,25.0,13.0
35,21,2015/4/29 10:50:00,29,10,50,1,0,15.0,32.0,17.0
36,21,2015/4/29 11:00:00,29,11,0,1,0,18.0,28.0,10.0
37,21,2015/4/29 11:10:00,29,11,10,1,0,12.0,18.0,6.0
38,21,2015/4/29 11:20:00,29,11,20,1,0,20.0,28.0,8.0
39,21,2015/4/29 11:30:00,29,11,30,1,0,19.0,25.0,6.0
40,21,2015/4/29 11:40:00,29,11,40,1,0,19.0,28.0,9.0
41,21,2015/4/29 11:50:00,29,11,50,1,0,12.0,23.0,11.0
42,21,2015/4/29 12:00:00,29,12,0,1,0,25.0,39.0,14.0
43,21,2015/4/29 12:10:00,29,12,10,1,0,24.0,44.0,20.0
44,21,2015/4/29 12:20:00,29,12,20,1,0,25.0,35.0,10.0
45,21,2015/4/29 12:30:00,29,12,30,1,0,26.0,42.0,16.0
46,21,2015/4/29 12:40:00,29,12,40,1,0,31.0,31.0,0.0
47,21,2015/4/29 12:50:00,29,12,50,1,0,26.0,31.0,5.0
48,21,2015/4/29 13:00:00,29,13,0,1,0,22.0,19.0,-3.0
49,21,2015/4/29 13:10:00,29,13,10,1,0,32.0,33.0,1.0
50,21,2015/4/29 13:20:00,29,13,20,1,0,36.0,29.0,-7.0
51,21,2015/4/29 13:30:00,29,13,30,1,0,24.0,39.0,15.0
52,21,2015/4/29 13:40:00,29,13,40,1,0,21.0,16.0,-5.0
53,21,2015/4/29 13:50:00,29,13,50,1,0,26.0,20.0,-6.0
54,21,2015/4/29 14:00:00,29,14,0,1,0,30.0,14.0,-16.0
55,21,2015/4/29 14:10:00,29,14,10,1,0,29.0,22.0,-7.0
56,21,2015/4/29 14:20:00,29,14,20,1,0,25.0,24.0,-1.0
57,21,2015/4/29 14:30:00,29,14,30,1,0,25.0,24.0,-1.0
58,21,2015/4/29 14:40:00,29,14,40,1,0,36.0,19.0,-17.0
59,21,2015/4/29 14:50:00,29,14,50,1,0,35.0,15.0,-20.0
60,21,2015/4/29 15:00:00,29,15,0,1,0,39.0,19.0,-20.0
61,21,2015/4/29 15:10:00,29,15,10,1,0,36.0,26.0,-10.0
62,21,2015/4/29 15:20:00,29,15,20,1,0,32.0,38.0,6.0
63,21,2015/4/29 15:30:00,29,15,30,1,0,34.0,20.0,-14.0
64,21,2015/4/29 15:40:00,29,15,40,1,0,37.0,26.0,-11.0
65,21,2015/4/29 15:50:00,29,15,50,1,0,38.0,23.0,-15.0
66,21,2015/4/29 16:00:00,29,16,0,1,0,41.0,38.0,-3.0
67,21,2015/4/29 16:10:00,29,16,10,1,0,45.0,36.0,-9.0
68,21,2015/4/29 16:20:00,29,16,20,1,0,55.0,36.0,-19.0
69,21,2015/4/29 16:30:00,29,16,30,1,0,46.0,34.0,-12.0
70,21,2015/4/29 16:40:00,29,16,40,1,0,55.0,40.0,-15.0
71,21,2015/4/29 16:50:00,29,16,50,1,0,62.0,43.0,-19.0
72,21,2015/4/29 17:00:00,29,17,0,1,0,60.0,49.0,-11.0
73,21,2015/4/29 17:10:00,29,17,10,1,0,69.0,67.0,-2.0
74,21,2015/4/29 17:20:00,29,17,20,1,0,111.0,68.0,-43.0
75,21,2015/4/29 17:30:00,29,17,30,1,0,110.0,57.0,-53.0
76,21,2015/4/29 17:40:00,29,17,40,1,0,112.0,57.0,-55.0
77,21,2015/4/29 17:50:00,29,17,50,1,0,149.0,68.0,-81.0
78,21,2015/4/29 18:00:00,29,18,0,1,0,171.0,38.0,-133.0
79,21,2015/4/29 18:10:00,29,18,10,1,0,192.0,41.0,-151.0
80,21,2015/4/29 18:20:00,29,18,20,1,0,180.0,22.0,-158.0
81,21,2015/4/29 18:30:00,29,18,30,1,0,182.0,32.0,-150.0
82,21,2015/4/29 18:40:00,29,18,40,1,0,165.0,28.0,-137.0
83,21,2015/4/29 18:50:00,29,18,50,1,0,193.0,17.0,-176.0
84,21,2015/4/29 19:00:00,29,19,0,1,0,162.0,15.0,-147.0
85,21,2015/4/29 19:10:00,29,19,10,1,0,123.0,13.0,-110.0
86,21,2015/4/29 19:20:00,29,19,20,1,0,111.0,23.0,-88.0
87,21,2015/4/29 19:30:00,29,19,30,1,0,86.0,19.0,-67.0
88,21,2015/4/29 19:40:00,29,19,40,1,0,88.0,5.0,-83.0
89,21,2015/4/29 19:50:00,29,19,50,1,0,48.0,13.0,-35.0
90,21,2015/4/29 20:00:00,29,20,0,1,0,58.0,12.0,-46.0
91,21,2015/4/29 20:10:00,29,20,10,1,0,66.0,13.0,-53.0
92,21,2015/4/29 20:20:00,29,20,20,1,0,77.0,15.0,-62.0
93,21,2015/4/29 20:30:00,29,20,30,1,0,43.0,3.0,-40.0
94,21,2015/4/29 20:40:00,29,20,40,1,0,84.0,8.0,-76.0
95,21,2015/4/29 20:50:00,29,20,50,1,0,38.0,6.0,-32.0
96,21,2015/4/29 21:00:00,29,21,0,1,0,56.0,5.0,-51.0
97,21,2015/4/29 21:10:00,29,21,10,1,0,39.0,6.0,-33.0
98,21,2015/4/29 21:20:00,29,21,20,1,0,64.0,17.0,-47.0
99,21,2015/4/29 21:30:00,29,21,30,1,0,42.0,10.0,-32.0
100,21,2015/4/29 21:40:00,29,21,40,1,0,23.0,3.0,-20.0
101,21,2015/4/29 21:50:00,29,21,50,1,0,47.0,2.0,-45.0
102,21,2015/4/29 22:00:00,29,22,0,1,0,27.0,1.0,-26.0
103,21,2015/4/29 22:10:00,29,22,10,1,0,55.0,0.0,-55.0
104,21,2015/4/29 22:20:00,29,22,20,1,0,15.0,0.0,-15.0
105,21,2015/4/29 22:30:00,29,22,30,1,0,42.0,0.0,-42.0
106,21,2015/4/29 22:40:00,29,22,40,1,0,26.0,3.0,-23.0
107,21,2015/4/29 22:50:00,29,22,50,1,0,9.0,1.0,-8.0
108,24,2015/4/29 5:00:00,29,5,0,1,0,0.0,0.0,0.0
109,24,2015/4/29 5:10:00,29,5,10,1,0,0.0,1.0,1.0
110,24,2015/4/29 5:20:00,29,5,20,1,0,0.0,1.0,1.0
111,24,2015/4/29 5:30:00,29,5,30,1,0,0.0,1.0,1.0
112,24,2015/4/29 5:40:00,29,5,40,1,0,0.0,2.0,2.0
113,24,2015/4/29 5:50:00,29,5,50,1,0,0.0,1.0,1.0
114,24,2015/4/29 6:00:00,29,6,0,1,0,0.0,6.0,6.0
115,24,2015/4/29 6:10:00,29,6,10,1,0,0.0,5.0,5.0
116,24,2015/4/29 6:20:00,29,6,20,1,0,1.0,12.0,11.0
117,24,2015/4/29 6:30:00,29,6,30,1,0,6.0,13.0,7.0
118,24,2015/4/29 6:40:00,29,6,40,1,0,0.0,17.0,17.0
119,24,2015/4/29 6:50:00,29,6,50,1,0,3.0,36.0,33.0
120,24,2015/4/29 7:00:00,29,7,0,1,0,6.0,28.0,22.0
121,24,2015/4/29 7:10:00,29,7,10,1,0,1.0,49.0,48.0
122,24,2015/4/29 7:20:00,29,7,20,1,0,13.0,59.0,46.0
123,24,2015/4/29 7:30:00,29,7,30,1,0,9.0,69.0,60.0
124,24,2015/4/29 7:40:00,29,7,40,1,0,18.0,92.0,74.0
125,24,2015/4/29 7:50:00,29,7,50,1,0,17.0,75.0,58.0
126,24,2015/4/29 8:00:00,29,8,0,1,0,10.0,92.0,82.0
127,24,2015/4/29 8:10:00,29,8,10,1,0,11.0,82.0,71.0
128,24,2015/4/29 8:20:00,29,8,20,1,0,9.0,73.0,64.0
129,24,2015/4/29 8:30:00,29,8,30,1,0,36.0,45.0,9.0
130,24,2015/4/29 8:40:00,29,8,40,1,0,37.0,36.0,-1.0
131,24,2015/4/29 8:50:00,29,8,50,1,0,10.0,23.0,13.0
132,24,2015/4/29 9:00:00,29,9,0,1,0,11.0,25.0,14.0
133,24,2015/4/29 9:10:00,29,9,10,1,0,20.0,17.0,-3.0
134,24,2015/4/29 9:20:00,29,9,20,1,0,18.0,18.0,0.0
135,24,2015/4/29 9:30:00,29,9,30,1,0,7.0,11.0,4.0
136,24,2015/4/29 9:40:00,29,9,40,1,0,13.0,11.0,-2.0
137,24,2015/4/29 9:50:00,29,9,50,1,0,1.0,4.0,3.0
138,24,2015/4/29 10:00:00,29,10,0,1,0,9.0,29.0,20.0
139,24,2015/4/29 10:10:00,29,10,10,1,0,5.0,2.0,-3.0
140,24,2015/4/29 10:20:00,29,10,20,1,0,4.0,3.0,-1.0
141,24,2015/4/29 10:30:00,29,10,30,1,0,8.0,4.0,-4.0
142,24,2015/4/29 10:40:00,29,10,40,1,0,6.0,3.0,-3.0
143,24,2015/4/29 10:50:00,29,10,50,1,0,3.0,0.0,-3.0
144,24,2015/4/29 11:00:00,29,11,0,1,0,8.0,4.0,-4.0
145,24,2015/4/29 11:10:00,29,11,10,1,0,3.0,6.0,3.0
146,24,2015/4/29 11:20:00,29,11,20,1,0,6.0,1.0,-5.0
147,24,2015/4/29 11:30:00,29,11,30,1,0,8.0,5.0,-3.0
148,24,2015/4/29 11:40:00,29,11,40,1,0,4.0,7.0,3.0
149,24,2015/4/29 11:50:00,29,11,50,1,0,7.0,4.0,-3.0
150,24,2015/4/29 12:00:00,29,12,0,1,0,5.0,8.0,3.0
151,24,2015/4/29 12:10:00,29,12,10,1,0,2.0,15.0,13.0
152,24,2015/4/29 12:20:00,29,12,20,1,0,2.0,4.0,2.0
153,24,2015/4/29 12:30:00,29,12,30,1,0,6.0,2.0,-4.0
154,24,2015/4/29 12:40:00,29,12,40,1,0,4.0,4.0,0.0
155,24,2015/4/29 12:50:00,29,12,50,1,0,6.0,16.0,10.0
156,24,2015/4/29 13:00:00,29,13,0,1,0,7.0,7.0,0.0
157,24,2015/4/29 13:10:00,29,13,10,1,0,4.0,9.0,5.0
158,24,2015/4/29 13:20:00,29,13,20,1,0,11.0,7.0,-4.0
159,24,2015/4/29 13:30:00,29,13,30,1,0,5.0,12.0,7.0
160,24,2015/4/29 13:40:00,29,13,40,1,0,6.0,2.0,-4.0
161,24,2015/4/29 13:50:00,29,13,50,1,0,3.0,4.0,1.0
162,24,2015/4/29 14:00:00,29,14,0,1,0,5.0,3.0,-2.0
163,24,2015/4/29 14:10:00,29,14,10,1,0,6.0,6.0,0.0
164,24,2015/4/29 14:20:00,29,14,20,1,0,7.0,4.0,-3.0
165,24,2015/4/29 14:30:00,29,14,30,1,0,7.0,5.0,-2.0
166,24,2015/4/29 14:40:00,29,14,40,1,0,8.0,14.0,6.0
167,24,2015/4/29 14:50:00,29,14,50,1,0,6.0,6.0,0.0
168,24,2015/4/29 15:00:00,29,15,0,1,0,7.0,10.0,3.0
169,24,2015/4/29 15:10:00,29,15,10,1,0,2.0,13.0,11.0
170,24,2015/4/29 15:20:00,29,15,20,1,0,8.0,12.0,4.0
171,24,2015/4/29 15:30:00,29,15,30,1,0,3.0,7.0,4.0
172,24,2015/4/29 15:40:00,29,15,40,1,0,6.0,13.0,7.0
173,24,2015/4/29 15:50:00,29,15,50,1,0,6.0,4.0,-2.0
174,24,2015/4/29 16:00:00,29,16,0,1,0,11.0,14.0,3.0
175,24,2015/4/29 16:10:00,29,16,10,1,0,5.0,14.0,9.0
176,24,2015/4/29 16:20:00,29,16,20,1,0,8.0,6.0,-2.0
177,24,2015/4/29 16:30:00,29,16,30,1,0,12.0,5.0,-7.0
178,24,2015/4/29 16:40:00,29,16,40,1,0,16.0,13.0,-3.0
179,24,2015/4/29 16:50:00,29,16,50,1,0,14.0,11.0,-3.0
180,24,2015/4/29 17:00:00,29,17,0,1,0,13.0,30.0,17.0
181,24,2015/4/29 17:10:00,29,17,10,1,0,14.0,24.0,10.0
182,24,2015/4/29 17:20:00,29,17,20,1,0,35.0,14.0,-21.0
183,24,2015/4/29 17:30:00,29,17,30,1,0,19.0,17.0,-2.0
184,24,2015/4/29 17:40:00,29,17,40,1,0,23.0,26.0,3.0
185,24,2015/4/29 17:50:00,29,17,50,1,0,22.0,14.0,-8.0
186,24,2015/4/29 18:00:00,29,18,0,1,0,48.0,10.0,-38.0
187,24,2015/4/29 18:10:00,29,18,10,1,0,24.0,16.0,-8.0
188,24,2015/4/29 18:20:00,29,18,20,1,0,32.0,11.0,-21.0
189,24,2015/4/29 18:30:00,29,18,30,1,0,35.0,1.0,-34.0
190,24,2015/4/29 18:40:00,29,18,40,1,0,21.0,8.0,-13.0
191,24,2015/4/29 18:50:00,29,18,50,1,0,21.0,7.0,-14.0
192,24,2015/4/29 19:00:00,29,19,0,1,0,15.0,4.0,-11.0
193,24,2015/4/29 19:10:00,29,19,10,1,0,13.0,4.0,-9.0
194,24,2015/4/29 19:20:00,29,19,20,1,0,16.0,2.0,-14.0
195,24,2015/4/29 19:30:00,29,19,30,1,0,12.0,3.0,-9.0
196,24,2015/4/29 19:40:00,29,19,40,1,0,10.0,2.0,-8.0
197,24,2015/4/29 19:50:00,29,19,50,1,0,5.0,2.0,-3.0
198,24,2015/4/29 20:00:00,29,20,0,1,0,17.0,9.0,-8.0
199,24,2015/4/29 20:10:00,29,20,10,1,0,6.0,2.0,-4.0
200,24,2015/4/29 20:20:00,29,20,20,1,0,8.0,3.0,-5.0
201,24,2015/4/29 20:30:00,29,20,30,1,0,4.0,0.0,-4.0
202,24,2015/4/29 20:40:00,29,20,40,1,0,3.0,2.0,-1.0
203,24,2015/4/29 20:50:00,29,20,50,1,0,13.0,1.0,-12.0
204,24,2015/4/29 21:00:00,29,21,0,1,0,5.0,0.0,-5.0
205,24,2015/4/29 21:10:00,29,21,10,1,0,18.0,3.0,-15.0
206,24,2015/4/29 21:20:00,29,21,20,1,0,2.0,0.0,-2.0
207,24,2015/4/29 21:30:00,29,21,30,1,0,9.0,0.0,-9.0
208,24,2015/4/29 21:40:00,29,21,40,1,0,12.0,2.0,-10.0
209,24,2015/4/29 21:50:00,29,21,50,1,0,0.0,1.0,1.0
210,24,2015/4/29 22:00:00,29,22,0,1,0,14.0,0.0,-14.0
211,24,2015/4/29 22:10:00,29,22,10,1,0,2.0,0.0,-2.0
212,24,2015/4/29 22:20:00,29,22,20,1,0,5.0,0.0,-5.0
213,24,2015/4/29 22:30:00,29,22,30,1,0,2.0,0.0,-2.0
214,24,2015/4/29 22:40:00,29,22,40,1,0,4.0,1.0,-3.0
215,24,2015/4/29 22:50:00,29,22,50,1,0,2.0,0.0,-2.0
216,11,2015/4/29 5:00:00,29,5,0,1,0,0.0,0.0,0.0
217,11,2015/4/29 5:10:00,29,5,10,1,0,0.0,0.0,0.0
218,11,2015/4/29 5:20:00,29,5,20,1,0,0.0,1.0,1.0
219,11,2015/4/29 5:30:00,29,5,30,1,0,0.0,5.0,5.0
220,11,2015/4/29 5:40:00,29,5,40,1,0,0.0,5.0,5.0
221,11,2015/4/29 5:50:00,29,5,50,1,0,0.0,12.0,12.0
222,11,2015/4/29 6:00:00,29,6,0,1,0,0.0,11.0,11.0
223,11,2015/4/29 6:10:00,29,6,10,1,0,0.0,14.0,14.0
224,11,2015/4/29 6:20:00,29,6,20,1,0,7.0,14.0,7.0
225,11,2015/4/29 6:30:00,29,6,30,1,0,2.0,30.0,28.0
226,11,2015/4/29 6:40:00,29,6,40,1,0,5.0,40.0,35.0
227,11,2015/4/29 6:50:00,29,6,50,1,0,3.0,64.0,61.0
228,11,2015/4/29 7:00:00,29,7,0,1,0,11.0,76.0,65.0
229,11,2015/4/29 7:10:00,29,7,10,1,0,8.0,88.0,80.0
230,11,2015/4/29 7:20:00,29,7,20,1,0,25.0,143.0,118.0
231,11,2015/4/29 7:30:00,29,7,30,1,0,29.0,179.0,150.0
232,11,2015/4/29 7:40:00,29,7,40,1,0,36.0,199.0,163.0
233,11,2015/4/29 7:50:00,29,7,50,1,0,38.0,183.0,145.0
234,11,2015/4/29 8:00:00,29,8,0,1,0,60.0,183.0,123.0
235,11,2015/4/29 8:10:00,29,8,10,1,0,44.0,191.0,147.0
236,11,2015/4/29 8:20:00,29,8,20,1,0,17.0,143.0,126.0
237,11,2015/4/29 8:30:00,29,8,30,1,0,123.0,129.0,6.0
238,11,2015/4/29 8:40:00,29,8,40,1,0,92.0,96.0,4.0
239,11,2015/4/29 8:50:00,29,8,50,1,0,92.0,64.0,-28.0
240,11,2015/4/29 9:00:00,29,9,0,1,0,108.0,58.0,-50.0
241,11,2015/4/29 9:10:00,29,9,10,1,0,119.0,42.0,-77.0
242,11,2015/4/29 9:20:00,29,9,20,1,0,99.0,36.0,-63.0
243,11,2015/4/29 9:30:00,29,9,30,1,0,68.0,35.0,-33.0
244,11,2015/4/29 9:40:00,29,9,40,1,0,70.0,26.0,-44.0
245,11,2015/4/29 9:50:00,29,9,50,1,0,34.0,21.0,-13.0
246,11,2015/4/29 10:00:00,29,10,0,1,0,29.0,16.0,-13.0
247,11,2015/4/29 10:10:00,29,10,10,1,0,24.0,24.0,0.0
248,11,2015/4/29 10:20:00,29,10,20,1,0,18.0,18.0,0.0
249,11,2015/4/29 10:30:00,29,10,30,1,0,27.0,18.0,-9.0
250,11,2015/4/29 10:40:00,29,10,40,1,0,26.0,19.0,-7.0
251,11,2015/4/29 10:50:00,29,10,50,1,0,16.0,10.0,-6.0
252,11,2015/4/29 11:00:00,29,11,0,1,0,13.0,19.0,6.0
253,11,2015/4/29 11:10:00,29,11,10,1,0,13.0,15.0,2.0
254,11,2015/4/29 11:20:00,29,11,20,1,0,17.0,17.0,0.0
255,11,2015/4/29 11:30:00,29,11,30,1,0,15.0,18.0,3.0
256,11,2015/4/29 11:40:00,29,11,40,1,0,23.0,21.0,-2.0
257,11,2015/4/29 11:50:00,29,11,50,1,0,15.0,19.0,4.0
258,11,2015/4/29 12:00:00,29,12,0,1,0,16.0,21.0,5.0
259,11,2015/4/29 12:10:00,29,12,10,1,0,12.0,13.0,1.0
260,11,2015/4/29 12:20:00,29,12,20,1,0,14.0,27.0,13.0
261,11,2015/4/29 12:30:00,29,12,30,1,0,27.0,15.0,-12.0
262,11,2015/4/29 12:40:00,29,12,40,1,0,22.0,9.0,-13.0
263,11,2015/4/29 12:50:00,29,12,50,1,0,14.0,22.0,8.0
264,11,2015/4/29 13:00:00,29,13,0,1,0,24.0,19.0,-5.0
265,11,2015/4/29 13:10:00,29,13,10,1,0,19.0,17.0,-2.0
266,11,2015/4/29 13:20:00,29,13,20,1,0,23.0,11.0,-12.0
267,11,2015/4/29 13:30:00,29,13,30,1,0,14.0,19.0,5.0
268,11,2015/4/29 13:40:00,29,13,40,1,0,23.0,15.0,-8.0
269,11,2015/4/29 13:50:00,29,13,50,1,0,15.0,16.0,1.0
270,11,2015/4/29 14:00:00,29,14,0,1,0,16.0,12.0,-4.0
271,11,2015/4/29 14:10:00,29,14,10,1,0,17.0,16.0,-1.0
272,11,2015/4/29 14:20:00,29,14,20,1,0,24.0,17.0,-7.0
273,11,2015/4/29 14:30:00,29,14,30,1,0,19.0,19.0,0.0
274,11,2015/4/29 14:40:00,29,14,40,1,0,18.0,18.0,0.0
275,11,2015/4/29 14:50:00,29,14,50,1,0,18.0,17.0,-1.0
276,11,2015/4/29 15:00:00,29,15,0,1,0,17.0,19.0,2.0
277,11,2015/4/29 15:10:00,29,15,10,1,0,12.0,23.0,11.0
278,11,2015/4/29 15:20:00,29,15,20,1,0,15.0,22.0,7.0
279,11,2015/4/29 15:30:00,29,15,30,1,0,21.0,23.0,2.0
280,11,2015/4/29 15:40:00,29,15,40,1,0,26.0,24.0,-2.0
281,11,2015/4/29 15:50:00,29,15,50,1,0,24.0,16.0,-8.0
282,11,2015/4/29 16:00:00,29,16,0,1,0,10.0,23.0,13.0
283,11,2015/4/29 16:10:00,29,16,10,1,0,23.0,15.0,-8.0
284,11,2015/4/29 16:20:00,29,16,20,1,0,32.0,27.0,-5.0
285,11,2015/4/29 16:30:00,29,16,30,1,0,22.0,28.0,6.0
286,11,2015/4/29 16:40:00,29,16,40,1,0,33.0,31.0,-2.0
287,11,2015/4/29 16:50:00,29,16,50,1,0,28.0,26.0,-2.0
288,11,2015/4/29 17:00:00,29,17,0,1,0,31.0,55.0,24.0
289,11,2015/4/29 17:10:00,29,17,10,1,0,34.0,57.0,23.0
290,11,2015/4/29 17:20:00,29,17,20,1,0,44.0,42.0,-2.0
291,11,2015/4/29 17:30:00,29,17,30,1,0,76.0,47.0,-29.0
292,11,2015/4/29 17:40:00,29,17,40,1,0,67.0,87.0,20.0
293,11,2015/4/29 17:50:00,29,17,50,1,0,59.0,61.0,2.0
294,11,2015/4/29 18:00:00,29,18,0,1,0,89.0,70.0,-19.0
295,11,2015/4/29 18:10:00,29,18,10,1,0,103.0,109.0,6.0
296,11,2015/4/29 18:20:00,29,18,20,1,0,96.0,80.0,-16.0
297,11,2015/4/29 18:30:00,29,18,30,1,0,88.0,75.0,-13.0
298,11,2015/4/29 18:40:00,29,18,40,1,0,84.0,59.0,-25.0
299,11,2015/4/29 18:50:00,29,18,50,1,0,70.0,45.0,-25.0
300,11,2015/4/29 19:00:00,29,19,0,1,0,74.0,40.0,-34.0
301,11,2015/4/29 19:10:00,29,19,10,1,0,50.0,30.0,-20.0
302,11,2015/4/29 19:20:00,29,19,20,1,0,40.0,26.0,-14.0
303,11,2015/4/29 19:30:00,29,19,30,1,0,39.0,19.0,-20.0
304,11,2015/4/29 19:40:00,29,19,40,1,0,32.0,22.0,-10.0
305,11,2015/4/29 19:50:00,29,19,50,1,0,31.0,13.0,-18.0
306,11,2015/4/29 20:00:00,29,20,0,1,0,29.0,17.0,-12.0
307,11,2015/4/29 20:10:00,29,20,10,1,0,10.0,29.0,19.0
308,11,2015/4/29 20:20:00,29,20,20,1,0,11.0,18.0,7.0
309,11,2015/4/29 20:30:00,29,20,30,1,0,32.0,15.0,-17.0
310,11,2015/4/29 20:40:00,29,20,40,1,0,10.0,8.0,-2.0
311,11,2015/4/29 20:50:00,29,20,50,1,0,27.0,25.0,-2.0
312,11,2015/4/29 21:00:00,29,21,0,1,0,12.0,12.0,0.0
313,11,2015/4/29 21:10:00,29,21,10,1,0,33.0,11.0,-22.0
314,11,2015/4/29 21:20:00,29,21,20,1,0,26.0,5.0,-21.0
315,11,2015/4/29 21:30:00,29,21,30,1,0,8.0,7.0,-1.0
316,11,2015/4/29 21:40:00,29,21,40,1,0,25.0,5.0,-20.0
317,11,2015/4/29 21:50:00,29,21,50,1,0,15.0,8.0,-7.0
318,11,2015/4/29 22:00:00,29,22,0,1,0,26.0,2.0,-24.0
319,11,2015/4/29 22:10:00,29,22,10,1,0,11.0,1.0,-10.0
320,11,2015/4/29 22:20:00,29,22,20,1,0,20.0,1.0,-19.0
321,11,2015/4/29 22:30:00,29,22,30,1,0,24.0,0.0,-24.0
322,11,2015/4/29 22:40:00,29,22,40,1,0,15.0,0.0,-15.0
323,11,2015/4/29 22:50:00,29,22,50,1,0,6.0,0.0,-6.0
324,6,2015/4/29 5:00:00,29,5,0,1,0,0.0,1.0,1.0
325,6,2015/4/29 5:10:00,29,5,10,1,0,0.0,6.0,6.0
326,6,2015/4/29 5:20:00,29,5,20,1,0,0.0,12.0,12.0
327,6,2015/4/29 5:30:00,29,5,30,1,0,0.0,23.0,23.0
328,6,2015/4/29 5:40:00,29,5,40,1,0,0.0,14.0,14.0
329,6,2015/4/29 5:50:00,29,5,50,1,0,0.0,16.0,16.0
330,6,2015/4/29 6:00:00,29,6,0,1,0,0.0,24.0,24.0
331,6,2015/4/29 6:10:00,29,6,10,1,0,5.0,38.0,33.0
332,6,2015/4/29 6:20:00,29,6,20,1,0,10.0,38.0,28.0
333,6,2015/4/29 6:30:00,29,6,30,1,0,15.0,88.0,73.0
334,6,2015/4/29 6:40:00,29,6,40,1,0,20.0,99.0,79.0
335,6,2015/4/29 6:50:00,29,6,50,1,0,40.0,157.0,117.0
336,6,2015/4/29 7:00:00,29,7,0,1,0,27.0,168.0,141.0
337,6,2015/4/29 7:10:00,29,7,10,1,0,48.0,170.0,122.0
338,6,2015/4/29 7:20:00,29,7,20,1,0,51.0,258.0,207.0
339,6,2015/4/29 7:30:00,29,7,30,1,0,75.0,270.0,195.0
340,6,2015/4/29 7:40:00,29,7,40,1,0,107.0,360.0,253.0
341,6,2015/4/29 7:50:00,29,7,50,1,0,123.0,421.0,298.0
342,6,2015/4/29 8:00:00,29,8,0,1,0,100.0,498.0,398.0
343,6,2015/4/29 8:10:00,29,8,10,1,0,253.0,419.0,166.0
344,6,2015/4/29 8:20:00,29,8,20,1,0,197.0,431.0,234.0
345,6,2015/4/29 8:30:00,29,8,30,1,0,276.0,383.0,107.0
346,6,2015/4/29 8:40:00,29,8,40,1,0,438.0,273.0,-165.0
347,6,2015/4/29 8:50:00,29,8,50,1,0,392.0,216.0,-176.0
348,6,2015/4/29 9:00:00,29,9,0,1,0,334.0,226.0,-108.0
349,6,2015/4/29 9:10:00,29,9,10,1,0,359.0,154.0,-205.0
350,6,2015/4/29 9:20:00,29,9,20,1,0,317.0,152.0,-165.0
351,6,2015/4/29 9:30:00,29,9,30,1,0,280.0,147.0,-133.0
